ID	readAndUnderstood	oppToAskAboutStudy	questionsAnswered	withdrawAtAnyTime	permissionToShareData	agreeToParticipate	careerStatus	engagement	contribImprvDoc	contribSuppOthers	contribFixBugs	contribAddFeatures	contribProvTransl	contribOther	contribOtherDesc	deterrentsLackOfInterest	deterrentsLackOfTime	deterrentsDontKnowHowToStart	deterrentsLackOfCodingSkills	deterrentsNotConfidentOfWelcome	deterrentsUnawareContributingWasPossible	workshopsOnContributing	gender	genderDesc	genderAffected	nonHeteroCommunity	nonHeteroDesc	nonHeteroAffected	raceCulture	raceCultureDesc	raceCultureAffected	disability	disabilityDesc	disabilityAffected	domLangEnglish	domLangDesc	domLangAffected	anonymityCheck	genderNegPerc	genderHideID	genderIgnored	genderDerisive	genderMicroaggressions	genderSelfDoubt	genderStereotypeThreat	genderOthersLikeMe	nonHeteroNegPerc	nonHeteroHideID	nonHeteroIgnored	nonHeteroDerisive	nonHeteroMicroaggressions	nonHeteroSelfDoubt	nonHeteroStereotypeThreat	nonHeteroOthersLikeMe	raceCultureNegPerc	raceCultureHideID	raceCultureIgnored	raceCultureDerisive	raceCultureMicroaggressions	raceCultureSelfDoubt	raceCultureStereotypeThreat	raceCultureOthersLikeMe	disabilityNegPerc	disabilityHideID	disabilityIgnored	disabilityDerisive	disabilityMicroaggressions	disabilitySelfDoubt	disabilityStereotypeThreat	disabilityOthersLikeMe	domLangNegPerc	domLangHideID	domLangIgnored	domLangDerisive	domLangMicroaggressions	domLangSelfDoubt	domLangStereotypeThreat	domLangOthersLikeMe	awareOfCodeOfConduct	psychopyDocumentationEasy	trustCodeWillBeEnforced	fbclid
14	Yes	Yes	Yes	Yes	Yes	Yes	Technical - junior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	3	3	1	1	1	3	woman	NA	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	4	3	1	1	5	man	NA	No	No	NA	NA	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
16	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	4	2	2	4	4	not listed	non-binary	No	Yes	queer	No	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	5	6	NA
17	Yes	Yes	Yes	Yes	Yes	Yes	Technical - senior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	2	3	4	1	1	3	woman	NA	No	Yes	NA	No	Yes	NA	No	Yes	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	5	4	NA
18	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	5	3	1	1	4	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	6	NA
19	Yes	Yes	Yes	Yes	Yes	Yes	Technical - junior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	1	1	1	1	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	4	NA
21	Yes	Yes	Yes	Yes	Yes	Yes	Technical - senior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	3	3	1	1	2	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
23	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - senior	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	1	3	4	5	1	1	4	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	german	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	3	5	NA
24	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	4	3	1	3	3	man	NA	No	Yes	NA	No	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	5	3	NA
25	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	2	5	2	1	1	NA	woman	NA	NA	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	4	NA
26	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	4	3	2	2	1	2	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	german	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	5	NA	NA
27	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	3	3	4	1	2	4	woman	NA	No	Yes	NA	No	No	NA	NA	Yes	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	4	NA
28	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	NA	NA	NA	NA	NA	NA	NA	man	NA	No	Yes	heterosexuality	No	No	NA	NA	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
29	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	5	5	5	5	5	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	7	NA
31	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	2	3	2	2	1	1	2	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	6	NA
32	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	3	4	5	1	5	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	gernan	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	5	NA
34	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	3	5	5	2	1	5	not listed	NA	No	Yes	NA	No	No	NA	NA	Yes	autism	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	5	NA
35	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	3	2	1	3	2	woman	NA	No	Yes	bisexual	No	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	5	NA
36	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	3	4	1	2	2	woman	NA	No	No	NA	NA	Yes	jewish	No	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
39	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	5	4	5	5	5	5	5	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	No	portuguese, minha linguagem predominante é o português	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
40	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent contributor	Selected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	5	5	5	5	5	5	5	man	NA	Yes	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	7	7	7	7	7	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	7	NA
41	Yes	Yes	Yes	Yes	Yes	Yes	Technical - junior	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	1	3	2	1	3	3	woman	NA	No	Yes	bisexual	No	Yes	indigenous	No	No	NA	NA	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	5	NA
44	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional contributor	Unselected	Selected	Unselected	Unselected	Unselected	Unselected	NA	1	5	2	2	1	1	2	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	7	NA
45	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent contributor	Selected	Selected	Selected	Selected	Unselected	Selected	I work in the core team of Open Science Tools. I therefore also help with testing releases, running workshops, attending conferences and other roles that fall under science officer responsibilities.	1	1	1	3	1	1	3	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	7	NA
46	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	2	3	3	1	3	2	man	NA	No	Yes	NA	No	Yes	asian but not chinese	Yes	No	NA	NA	No	japanee	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2	1	4	3	1	5	NA	NA	NA	NA	NA	NA	NA	NA	2	2	5	2	2	2	2	4	No	2	4	NA
47	Yes	Yes	Yes	Yes	Yes	Yes	Technical - junior	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	4	4	2	1	1	4	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
48	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	5	4	4	1	4	2	man	NA	No	Yes	gay	No	No	NA	NA	No	NA	NA	No	french	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	4	4	NA
49	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Occasional user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	4	2	1	3	1	3	man	NA	No	No	NA	NA	Yes	coming from a country where we don’t usually talk in terms of race, it feels a bit odd to treat it as a valid category. but even when the conversation shifts to culture instead, i still feel there's a general bias against latin america or latin american perspectives.	No	No	NA	NA	No	rioplatense spanish	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	3	1	7	Yes	5	7	NA
50	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	4	3	1	1	5	man	NA	No	Yes	gay	No	No	NA	NA	No	NA	NA	No	german	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	3	5	NA
51	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	1	1	2	1	2	3	woman	NA	No	Yes	NA	No	Yes	NA	No	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	3	4	NA
52	Yes	Yes	Yes	Yes	Yes	Yes	Technical - senior	Senior developer	Unselected	Unselected	Unselected	Selected	Unselected	Unselected	NA	1	1	2	1	1	1	3	man	NA	No	Yes	NA	No	No	NA	NA	Yes	adhd, autisim, dyslexic, dyspraxic	Yes	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	1	1	1	5	6	2	NA	NA	NA	NA	NA	NA	NA	NA	Yes	6	7	NA
53	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	3	4	5	5	2	4	1	not listed	prefer not to say	No	No	NA	NA	Yes	prefer not to say	Yes	No	NA	NA	No	NA	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	3	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2	2	3	7	7	1	No	4	4	NA
54	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	1	3	2	1	3	man	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	7	4	NA
55	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - mid career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	3	4	3	4	4	5	woman	NA	No	No	NA	NA	No	NA	NA	No	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	5	4	NA
56	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	1	5	5	3	1	5	5	man	NA	No	No	NA	NA	No	NA	NA	Yes	adhd	No	Yes	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	4	7	NA
57	Yes	Yes	Yes	Yes	Yes	Yes	Researcher - early career	Frequent user	Unselected	Unselected	Unselected	Unselected	Unselected	Unselected	NA	2	5	5	4	1	2	5	man	NA	Yes	No	NA	NA	Yes	asian	Yes	Yes	some might think i am on the asd spectrum (just mildly)	No	No	korean	Yes	Yes	1	1	1	1	1	1	5	4	NA	NA	NA	NA	NA	NA	NA	NA	1	5	1	1	1	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	1	5	5	1	5	5	5	7	Yes	6	4	NA
